Method,Framework,Count,Mean,Allocated
'Upsert : Reference',.NET 7.0,100,304.466,832
'Upsert : Reference',.NET 6.0,250,631.256,2032
'Upsert : Reference',.NET 7.0,250,733.448,2032
'Upsert: Record',.NET 6.0,2,53.954,48
'Upsert: Record',.NET 7.0,2,55.672,48
'Upsert: Record',.NET 6.0,5,73.74,72
'Upsert: Record',.NET 7.0,5,78.918,72
'Upsert: Record',.NET 6.0,10,89.23,112
'Upsert: Record',.NET 7.0,10,98.149,112
'Upsert: Record',.NET 6.0,20,141.647,192
'Upsert: Record',.NET 7.0,20,150.374,192
'Upsert: Record',.NET 6.0,25,163.825,232
'Upsert: Record',.NET 7.0,25,182.476,232
'Upsert: Record',.NET 6.0,50,270.977,432
'Upsert: Record',.NET 7.0,50,301.562,432
'Upsert: Record',.NET 6.0,75,389.402,632
'Upsert: Record',.NET 7.0,75,433.45,632
'Upsert: Record',.NET 6.0,100,497.727,832
'Upsert: Record',.NET 7.0,100,558.914,832
'Upsert: Record',.NET 6.0,250,"1,217.61",2032
'Upsert: Record',.NET 7.0,250,"1,343.92",2032
BytesToString,.NET 6.0,2,"25,431.42",36920
BytesToString,.NET 7.0,2,"26,272.83",36920
BytesToString,.NET 6.0,5,"25,467.71",36920
BytesToString,.NET 7.0,5,"25,639.67",36920
BytesToString,.NET 6.0,10,"25,569.02",36920
BytesToString,.NET 7.0,10,"26,119.59",36920
BytesToString,.NET 6.0,20,"25,238.59",36920
BytesToString,.NET 7.0,20,"27,390.63",36920
BytesToString,.NET 6.0,25,"25,733.06",36920
BytesToString,.NET 7.0,25,"26,160.98",36920
BytesToString,.NET 6.0,50,"26,024.38",36920
BytesToString,.NET 7.0,50,"25,676.98",36920
BytesToString,.NET 6.0,75,"25,744.37",36920
BytesToString,.NET 7.0,75,"26,510.89",36920
BytesToString,.NET 6.0,100,"26,088.69",36920
BytesToString,.NET 7.0,100,"26,102.63",36920
BytesToString,.NET 6.0,250,"25,567.75",36920
BytesToString,.NET 7.0,250,"26,770.25",36920
GetHashCode,.NET 6.0,2,2.182,0
GetHashCode,.NET 7.0,2,2.159,0
GetHashCode,.NET 6.0,5,2.164,0
GetHashCode,.NET 7.0,5,1.937,0
GetHashCode,.NET 6.0,10,2.162,0
GetHashCode,.NET 7.0,10,1.954,0
GetHashCode,.NET 6.0,20,2.127,0
GetHashCode,.NET 7.0,20,1.902,0
GetHashCode,.NET 6.0,25,2.185,0
GetHashCode,.NET 7.0,25,2.138,0
GetHashCode,.NET 6.0,50,2.142,0
GetHashCode,.NET 7.0,50,1.95,0
GetHashCode,.NET 6.0,75,2.14,0
GetHashCode,.NET 7.0,75,1.942,0
GetHashCode,.NET 6.0,100,2.176,0
GetHashCode,.NET 7.0,100,2.156,0
GetHashCode,.NET 6.0,250,2.21,0
GetHashCode,.NET 7.0,250,1.91,0
